Individual,Age,CSP,iris,Couple,Sexe
82,75 à 79 ans,Retraités,765400101,Vivant en couple,Femmes
83,80 à 84 ans,Retraités,765400202,Ne vivant pas en couple,Hommes
84,80 à 84 ans,Autres personnes sans activité professionnelle,765400404,Vivant en couple,Femmes
85,50 à 54 ans,Professions intermédiaires,765400604,Vivant en couple,Hommes
86,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400801,Ne vivant pas en couple,Femmes
87,60 à 64 ans,Cadres et professions intellectuelles supérieures,765400304,Vivant en couple,Hommes
88,35 à 39 ans,Employés,765400701,Ne vivant pas en couple,Femmes
89,60 à 64 ans,Retraités,765401002,Vivant en couple,Hommes
90,40 à 44 ans,Employés,765401003,Vivant en couple,Femmes
91,60 à 64 ans,Retraités,765400601,Vivant en couple,Hommes
92,45 à 49 ans,Employés,765400502,Ne vivant pas en couple,Femmes
93,70 à 74 ans,Retraités,765400602,Vivant en couple,Femmes
94,5 à 9 ans,null,765400106,null,Hommes
95,80 à 84 ans,Retraités,765400802,Vivant en couple,Hommes
96,Moins de 5 ans,null,765400105,null,Hommes
97,50 à 54 ans,Artisans. commerçants. chefs d'entreprise,765400204,Ne vivant pas en couple,Hommes
98,30 à 34 ans,Professions intermédiaires,765400203,Ne vivant pas en couple,Hommes
99,50 à 54 ans,Professions intermédiaires,765400102,Vivant en couple,Hommes
100,5 à 9 ans,null,765400203,null,Hommes
101,20 à 24 ans,Autres personnes sans activité professionnelle,765400502,Ne vivant pas en couple,Femmes
102,50 à 54 ans,Professions intermédiaires,765400501,Ne vivant pas en couple,Hommes
103,85 à 89 ans,Retraités,765400404,Vivant en couple,Femmes
104,65 à 69 ans,Retraités,765400801,Ne vivant pas en couple,Hommes
105,Moins de 5 ans,null,765400102,null,Hommes
106,30 à 34 ans,Ouvriers,765400104,Ne vivant pas en couple,Hommes
107,60 à 64 ans,Ouvriers,765400106,Vivant en couple,Hommes
108,80 à 84 ans,Retraités,765400306,Ne vivant pas en couple,Femmes
109,65 à 69 ans,Retraités,765401005,Ne vivant pas en couple,Hommes
110,40 à 44 ans,Professions intermédiaires,765400502,Vivant en couple,Hommes
111,70 à 74 ans,Retraités,765400305,Vivant en couple,Hommes
112,35 à 39 ans,Ouvriers,765400602,Vivant en couple,Hommes
113,Moins de 5 ans,null,765401005,null,Femmes
114,25 à 29 ans,Employés,765400405,Vivant en couple,Hommes
115,45 à 49 ans,Ouvriers,765400303,Ne vivant pas en couple,Hommes
116,Moins de 5 ans,null,765400101,null,Hommes
117,70 à 74 ans,Retraités,765401003,Ne vivant pas en couple,Hommes
118,50 à 54 ans,Ouvriers,765400101,Vivant en couple,Hommes
119,5 à 9 ans,null,765400902,null,Hommes
120,70 à 74 ans,Retraités,765400201,Vivant en couple,Femmes
121,10 à 14 ans,null,765400104,null,Hommes
122,70 à 74 ans,Retraités,765401004,Vivant en couple,Femmes
123,20 à 24 ans,Autres personnes sans activité professionnelle,765400102,Ne vivant pas en couple,Hommes
124,15 à 19 ans,Autres personnes sans activité professionnelle,765400304,Ne vivant pas en couple,Hommes
125,5 à 9 ans,null,765400301,null,Femmes
126,65 à 69 ans,Retraités,765400404,Vivant en couple,Hommes
127,75 à 79 ans,Retraités,765400304,Ne vivant pas en couple,Femmes
128,5 à 9 ans,null,765400203,null,Hommes
129,50 à 54 ans,Professions intermédiaires,765400601,Vivant en couple,Femmes
130,Moins de 5 ans,null,765400603,null,Hommes
131,35 à 39 ans,Autres personnes sans activité professionnelle,765401004,Ne vivant pas en couple,Hommes
132,50 à 54 ans,Employés,765400301,Vivant en couple,Femmes
133,65 à 69 ans,Employés,765400702,Vivant en couple,Femmes
134,60 à 64 ans,Professions intermédiaires,765400303,Vivant en couple,Femmes
135,55 à 59 ans,Employés,765400104,Vivant en couple,Femmes
136,Moins de 5 ans,null,765400802,null,Hommes
137,55 à 59 ans,Employés,765400601,Vivant en couple,Femmes
138,50 à 54 ans,Employés,765400502,Ne vivant pas en couple,Femmes
139,65 à 69 ans,Retraités,765400405,Ne vivant pas en couple,Femmes
140,55 à 59 ans,Cadres et professions intellectuelles supérieures,765400105,Vivant en couple,Hommes
141,75 à 79 ans,Retraités,765400405,Vivant en couple,Femmes
142,25 à 29 ans,Employés,765401002,Vivant en couple,Femmes
143,55 à 59 ans,Retraités,765400106,Vivant en couple,Hommes
144,35 à 39 ans,Employés,765400104,Ne vivant pas en couple,Femmes
145,5 à 9 ans,null,765401005,null,Hommes
146,35 à 39 ans,Autres personnes sans activité professionnelle,765401001,Vivant en couple,Femmes
147,5 à 9 ans,null,765401005,null,Hommes
148,45 à 49 ans,Professions intermédiaires,765400501,Ne vivant pas en couple,Femmes
149,35 à 39 ans,Professions intermédiaires,765400403,Vivant en couple,Hommes
150,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400402,Vivant en couple,Hommes
151,65 à 69 ans,Retraités,765400304,Vivant en couple,Hommes
152,5 à 9 ans,null,765400303,null,Hommes
153,90 à 94 ans,Retraités,765400801,Ne vivant pas en couple,Femmes
154,25 à 29 ans,Ouvriers,765400204,Ne vivant pas en couple,Hommes
155,45 à 49 ans,Ouvriers,765400403,Vivant en couple,Hommes
156,55 à 59 ans,Retraités,765400104,Ne vivant pas en couple,Hommes
157,5 à 9 ans,null,765401001,null,Femmes
158,15 à 19 ans,Employés,765400204,Ne vivant pas en couple,Femmes
159,60 à 64 ans,Cadres et professions intellectuelles supérieures,765400405,Ne vivant pas en couple,Femmes
160,10 à 14 ans,null,765401001,null,Hommes
161,25 à 29 ans,Professions intermédiaires,765401005,Vivant en couple,Hommes
162,65 à 69 ans,Retraités,765401002,Ne vivant pas en couple,Femmes
163,15 à 19 ans,Autres personnes sans activité professionnelle,765400201,Ne vivant pas en couple,Hommes
164,25 à 29 ans,Autres personnes sans activité professionnelle,765400604,Vivant en couple,Femmes
165,75 à 79 ans,Retraités,765400204,Ne vivant pas en couple,Hommes
166,70 à 74 ans,Retraités,765400304,Vivant en couple,Hommes
167,15 à 19 ans,Ouvriers,765400604,Ne vivant pas en couple,Hommes
168,10 à 14 ans,null,765400103,null,Hommes
169,45 à 49 ans,Ouvriers,765401002,Vivant en couple,Hommes
170,35 à 39 ans,Employés,765400802,Vivant en couple,Femmes
171,45 à 49 ans,Ouvriers,765400502,Vivant en couple,Femmes
172,40 à 44 ans,Autres personnes sans activité professionnelle,765400102,Vivant en couple,Femmes
173,75 à 79 ans,Retraités,765400305,Vivant en couple,Hommes
174,20 à 24 ans,Autres personnes sans activité professionnelle,765400801,Vivant en couple,Hommes
175,40 à 44 ans,Employés,765400404,Ne vivant pas en couple,Femmes
176,40 à 44 ans,Autres personnes sans activité professionnelle,765401003,Vivant en couple,Femmes
177,40 à 44 ans,Autres personnes sans activité professionnelle,765401004,Vivant en couple,Femmes
178,30 à 34 ans,Autres personnes sans activité professionnelle,765400402,Vivant en couple,Femmes
179,65 à 69 ans,Retraités,765400604,Vivant en couple,Femmes
180,65 à 69 ans,Retraités,765400303,Vivant en couple,Hommes
181,80 à 84 ans,Retraités,765400601,Ne vivant pas en couple,Hommes
182,5 à 9 ans,null,765400305,null,Hommes
183,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400404,Vivant en couple,Hommes
184,35 à 39 ans,Employés,765400103,Vivant en couple,Hommes
185,20 à 24 ans,Cadres et professions intellectuelles supérieures,765400604,Ne vivant pas en couple,Femmes
186,30 à 34 ans,Ouvriers,765400403,Vivant en couple,Femmes
187,55 à 59 ans,Retraités,765400701,Vivant en couple,Femmes
188,15 à 19 ans,Autres personnes sans activité professionnelle,765400503,Ne vivant pas en couple,Femmes
189,90 à 94 ans,Retraités,765400405,Ne vivant pas en couple,Femmes
190,50 à 54 ans,Employés,765400901,Ne vivant pas en couple,Femmes
191,55 à 59 ans,Retraités,765400304,Vivant en couple,Femmes
192,55 à 59 ans,Cadres et professions intellectuelles supérieures,765400202,Ne vivant pas en couple,Hommes
193,30 à 34 ans,Professions intermédiaires,765400403,Ne vivant pas en couple,Femmes
194,5 à 9 ans,null,765400404,null,Femmes
195,65 à 69 ans,Retraités,765400402,Ne vivant pas en couple,Femmes
196,35 à 39 ans,Ouvriers,765400103,Vivant en couple,Hommes
197,5 à 9 ans,null,765400104,null,Hommes
198,55 à 59 ans,Autres personnes sans activité professionnelle,765400702,Vivant en couple,Femmes
199,50 à 54 ans,Professions intermédiaires,765400306,Vivant en couple,Femmes
200,15 à 19 ans,Autres personnes sans activité professionnelle,765400601,Ne vivant pas en couple,Hommes
201,30 à 34 ans,Employés,765400502,Vivant en couple,Femmes
202,25 à 29 ans,Ouvriers,765400303,Ne vivant pas en couple,Hommes
203,Moins de 5 ans,null,765400601,null,Femmes
204,60 à 64 ans,Employés,765400201,Vivant en couple,Femmes
205,55 à 59 ans,Retraités,765401001,Ne vivant pas en couple,Femmes
206,50 à 54 ans,Ouvriers,765400202,Vivant en couple,Hommes
207,65 à 69 ans,Retraités,765400403,Vivant en couple,Hommes
208,5 à 9 ans,null,765400104,null,Femmes
209,40 à 44 ans,Employés,765400204,Vivant en couple,Femmes
210,75 à 79 ans,Retraités,765401004,Ne vivant pas en couple,Hommes
211,10 à 14 ans,null,765400403,null,Hommes
212,25 à 29 ans,Professions intermédiaires,765400601,Vivant en couple,Femmes
213,15 à 19 ans,Autres personnes sans activité professionnelle,765400901,Ne vivant pas en couple,Femmes
214,20 à 24 ans,Autres personnes sans activité professionnelle,765401004,Ne vivant pas en couple,Femmes
215,50 à 54 ans,Ouvriers,765400101,Vivant en couple,Hommes
216,5 à 9 ans,null,765400103,null,Hommes
217,45 à 49 ans,Ouvriers,765400301,Vivant en couple,Hommes
218,80 à 84 ans,Retraités,765400901,Ne vivant pas en couple,Femmes
219,75 à 79 ans,Retraités,765400404,Ne vivant pas en couple,Hommes
220,45 à 49 ans,Autres personnes sans activité professionnelle,765400601,Vivant en couple,Femmes
221,60 à 64 ans,Professions intermédiaires,765400405,Vivant en couple,Femmes
222,45 à 49 ans,Ouvriers,765400204,Vivant en couple,Hommes
223,5 à 9 ans,null,765400202,null,Femmes
224,Moins de 5 ans,null,765400106,null,Femmes
225,60 à 64 ans,Retraités,765400201,Ne vivant pas en couple,Hommes
226,40 à 44 ans,Professions intermédiaires,765400106,Vivant en couple,Hommes
227,55 à 59 ans,Retraités,765400901,Vivant en couple,Femmes
228,55 à 59 ans,Professions intermédiaires,765400802,Vivant en couple,Hommes
229,35 à 39 ans,Employés,765400402,Vivant en couple,Femmes
230,10 à 14 ans,null,765401002,null,Hommes
231,Moins de 5 ans,null,765400602,null,Femmes
232,85 à 89 ans,Retraités,765400303,Ne vivant pas en couple,Femmes
233,45 à 49 ans,Employés,765401005,Vivant en couple,Hommes
234,55 à 59 ans,Professions intermédiaires,765400304,Vivant en couple,Hommes
235,30 à 34 ans,Professions intermédiaires,765401005,Ne vivant pas en couple,Femmes
236,70 à 74 ans,Retraités,765401001,Ne vivant pas en couple,Hommes
237,35 à 39 ans,Autres personnes sans activité professionnelle,765400104,Ne vivant pas en couple,Femmes
238,45 à 49 ans,Employés,765400802,Vivant en couple,Femmes
239,65 à 69 ans,Agriculteurs exploitants,765401001,Ne vivant pas en couple,Femmes
240,40 à 44 ans,Professions intermédiaires,765400305,Ne vivant pas en couple,Femmes
241,45 à 49 ans,Artisans. commerçants. chefs d'entreprise,765400105,Vivant en couple,Hommes
242,20 à 24 ans,Employés,765400601,Ne vivant pas en couple,Hommes
243,55 à 59 ans,Ouvriers,765400305,Ne vivant pas en couple,Hommes
244,10 à 14 ans,null,765400106,null,Hommes
245,25 à 29 ans,Employés,765400201,Vivant en couple,Femmes
246,Moins de 5 ans,null,765400305,null,Femmes
247,10 à 14 ans,null,765400601,null,Hommes
248,70 à 74 ans,Retraités,765401001,Vivant en couple,Hommes
249,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400305,Vivant en couple,Femmes
250,10 à 14 ans,null,765400402,null,Hommes
251,15 à 19 ans,Employés,765400701,Ne vivant pas en couple,Hommes
252,40 à 44 ans,Ouvriers,765400502,Ne vivant pas en couple,Femmes
253,60 à 64 ans,Employés,765400801,Vivant en couple,Femmes
254,25 à 29 ans,Autres personnes sans activité professionnelle,765400501,Vivant en couple,Hommes
255,15 à 19 ans,Autres personnes sans activité professionnelle,765400901,Ne vivant pas en couple,Femmes
256,35 à 39 ans,Employés,765400404,Vivant en couple,Femmes
257,Moins de 5 ans,null,765400501,null,Femmes
258,25 à 29 ans,Professions intermédiaires,765400402,Vivant en couple,Femmes
259,55 à 59 ans,Ouvriers,765400103,Ne vivant pas en couple,Femmes
260,5 à 9 ans,null,765400405,null,Hommes
261,40 à 44 ans,Professions intermédiaires,765400402,Vivant en couple,Femmes
262,45 à 49 ans,Professions intermédiaires,765400801,Ne vivant pas en couple,Femmes
263,65 à 69 ans,Retraités,765400405,Vivant en couple,Hommes
264,5 à 9 ans,null,765401005,null,Femmes
265,45 à 49 ans,Ouvriers,765400105,Vivant en couple,Hommes
266,55 à 59 ans,Professions intermédiaires,765400104,Vivant en couple,Hommes
267,20 à 24 ans,Autres personnes sans activité professionnelle,765400103,Vivant en couple,Femmes
268,55 à 59 ans,Retraités,765400602,Vivant en couple,Femmes
269,5 à 9 ans,null,765400204,null,Femmes
270,55 à 59 ans,Retraités,765400105,Vivant en couple,Hommes
271,50 à 54 ans,Ouvriers,765400402,Vivant en couple,Hommes
272,65 à 69 ans,Retraités,765400102,Vivant en couple,Femmes
273,10 à 14 ans,null,765400101,null,Hommes
274,20 à 24 ans,Autres personnes sans activité professionnelle,765401005,Vivant en couple,Hommes
275,45 à 49 ans,Cadres et professions intellectuelles supérieures,765401002,Ne vivant pas en couple,Femmes
276,40 à 44 ans,Employés,765400601,Vivant en couple,Femmes
277,Moins de 5 ans,null,765400204,null,Femmes
278,35 à 39 ans,Professions intermédiaires,765400306,Ne vivant pas en couple,Hommes
279,Moins de 5 ans,null,765400106,null,Femmes
280,25 à 29 ans,Cadres et professions intellectuelles supérieures,765400402,Vivant en couple,Femmes
281,25 à 29 ans,Ouvriers,765400405,Ne vivant pas en couple,Hommes
282,40 à 44 ans,Professions intermédiaires,765400405,Vivant en couple,Femmes
283,30 à 34 ans,Professions intermédiaires,765401001,Vivant en couple,Femmes
284,65 à 69 ans,Autres personnes sans activité professionnelle,765400304,Vivant en couple,Femmes
285,50 à 54 ans,Professions intermédiaires,765400203,Vivant en couple,Hommes
286,90 à 94 ans,Retraités,765400103,Ne vivant pas en couple,Femmes
287,Moins de 5 ans,null,765400104,null,Femmes
288,30 à 34 ans,Professions intermédiaires,765400404,Vivant en couple,Femmes
289,75 à 79 ans,Retraités,765400103,Ne vivant pas en couple,Femmes
290,60 à 64 ans,Professions intermédiaires,765401003,Vivant en couple,Femmes
291,5 à 9 ans,null,765400103,null,Hommes
292,65 à 69 ans,Retraités,765400104,Vivant en couple,Hommes
293,65 à 69 ans,Retraités,765400103,Ne vivant pas en couple,Femmes
294,65 à 69 ans,Autres personnes sans activité professionnelle,765400502,Vivant en couple,Femmes
295,40 à 44 ans,Professions intermédiaires,765400601,Ne vivant pas en couple,Femmes
296,5 à 9 ans,null,765401003,null,Hommes
297,15 à 19 ans,Autres personnes sans activité professionnelle,765400102,Ne vivant pas en couple,Femmes
298,60 à 64 ans,Employés,765401002,Ne vivant pas en couple,Femmes
299,60 à 64 ans,Retraités,765400602,Vivant en couple,Hommes
300,75 à 79 ans,Retraités,765401002,Vivant en couple,Femmes
301,45 à 49 ans,Employés,765400504,Vivant en couple,Hommes
302,Moins de 5 ans,null,765400902,null,Hommes
303,15 à 19 ans,Ouvriers,765400101,Ne vivant pas en couple,Hommes
304,15 à 19 ans,Autres personnes sans activité professionnelle,765401001,Ne vivant pas en couple,Hommes
305,90 à 94 ans,Retraités,765400403,Ne vivant pas en couple,Femmes
306,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400601,Vivant en couple,Hommes
307,45 à 49 ans,Professions intermédiaires,765400102,Vivant en couple,Femmes
308,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400602,Ne vivant pas en couple,Hommes
309,15 à 19 ans,Autres personnes sans activité professionnelle,765400304,Ne vivant pas en couple,Femmes
310,45 à 49 ans,Cadres et professions intellectuelles supérieures,765400403,Vivant en couple,Hommes
311,5 à 9 ans,null,765400204,null,Hommes
312,50 à 54 ans,Employés,765400404,Vivant en couple,Femmes
313,50 à 54 ans,Employés,765400405,Vivant en couple,Femmes
314,20 à 24 ans,Autres personnes sans activité professionnelle,765400105,Ne vivant pas en couple,Hommes
315,30 à 34 ans,Cadres et professions intellectuelles supérieures,765400103,Vivant en couple,Femmes
316,5 à 9 ans,null,765401003,null,Femmes
317,5 à 9 ans,null,765400305,null,Femmes
318,30 à 34 ans,Ouvriers,765400303,Ne vivant pas en couple,Hommes
319,15 à 19 ans,Autres personnes sans activité professionnelle,765401001,Ne vivant pas en couple,Femmes
320,20 à 24 ans,Cadres et professions intellectuelles supérieures,765400202,Ne vivant pas en couple,Hommes
321,20 à 24 ans,Autres personnes sans activité professionnelle,765400305,Vivant en couple,Femmes
322,30 à 34 ans,Professions intermédiaires,765400504,Vivant en couple,Hommes
323,35 à 39 ans,Autres personnes sans activité professionnelle,765401001,Vivant en couple,Femmes
324,25 à 29 ans,Cadres et professions intellectuelles supérieures,765401005,Ne vivant pas en couple,Hommes
325,55 à 59 ans,Retraités,765400604,Vivant en couple,Femmes
326,60 à 64 ans,Retraités,765400701,Vivant en couple,Femmes
327,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400303,Ne vivant pas en couple,Femmes
328,20 à 24 ans,Autres personnes sans activité professionnelle,765400502,Ne vivant pas en couple,Femmes
329,25 à 29 ans,Employés,765400105,Ne vivant pas en couple,Femmes
330,5 à 9 ans,null,765400106,null,Femmes
331,80 à 84 ans,Retraités,765400503,Vivant en couple,Femmes
332,50 à 54 ans,Employés,765400203,Vivant en couple,Femmes
333,50 à 54 ans,Employés,765400204,Vivant en couple,Femmes
334,75 à 79 ans,Retraités,765400602,Vivant en couple,Femmes
335,40 à 44 ans,Autres personnes sans activité professionnelle,765400304,Vivant en couple,Femmes
336,65 à 69 ans,Retraités,765400105,Vivant en couple,Femmes
337,35 à 39 ans,Professions intermédiaires,765400501,Vivant en couple,Femmes
338,35 à 39 ans,Professions intermédiaires,765400701,Ne vivant pas en couple,Femmes
339,55 à 59 ans,Cadres et professions intellectuelles supérieures,765400103,Vivant en couple,Hommes
340,5 à 9 ans,null,765400504,null,Femmes
341,55 à 59 ans,Retraités,765400106,Vivant en couple,Hommes
342,65 à 69 ans,Retraités,765400204,Vivant en couple,Femmes
343,85 à 89 ans,Retraités,765400802,Vivant en couple,Femmes
344,35 à 39 ans,Professions intermédiaires,765400503,Ne vivant pas en couple,Hommes
345,55 à 59 ans,Retraités,765400402,Ne vivant pas en couple,Femmes
346,55 à 59 ans,Retraités,765400104,Vivant en couple,Hommes
347,70 à 74 ans,Retraités,765400901,Vivant en couple,Femmes
348,40 à 44 ans,Ouvriers,765400405,Ne vivant pas en couple,Hommes
349,55 à 59 ans,Ouvriers,765400201,Vivant en couple,Hommes
350,80 à 84 ans,Retraités,765400702,Ne vivant pas en couple,Hommes
351,Moins de 5 ans,null,765400204,null,Hommes
352,65 à 69 ans,Retraités,765400204,Vivant en couple,Hommes
353,85 à 89 ans,Retraités,765400405,Ne vivant pas en couple,Hommes
354,40 à 44 ans,Professions intermédiaires,765400404,Vivant en couple,Femmes
355,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400902,Ne vivant pas en couple,Femmes
356,60 à 64 ans,Ouvriers,765400602,Vivant en couple,Femmes
357,75 à 79 ans,Retraités,765400604,Vivant en couple,Hommes
358,60 à 64 ans,Retraités,765400701,Vivant en couple,Hommes
359,50 à 54 ans,Employés,765401001,Vivant en couple,Femmes
360,70 à 74 ans,Retraités,765400503,Ne vivant pas en couple,Femmes
361,20 à 24 ans,Employés,765400103,Vivant en couple,Hommes
362,35 à 39 ans,Autres personnes sans activité professionnelle,765400204,Ne vivant pas en couple,Hommes
363,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400802,Ne vivant pas en couple,Femmes
364,80 à 84 ans,Retraités,765400902,Ne vivant pas en couple,Hommes
365,35 à 39 ans,Employés,765400502,Vivant en couple,Femmes
366,5 à 9 ans,null,765400701,null,Femmes
367,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400902,Vivant en couple,Femmes
368,50 à 54 ans,Professions intermédiaires,765400405,Vivant en couple,Hommes
369,55 à 59 ans,Retraités,765400802,Vivant en couple,Femmes
370,20 à 24 ans,Employés,765400106,Vivant en couple,Hommes
371,10 à 14 ans,null,765401005,null,Hommes
372,5 à 9 ans,null,765400601,null,Hommes
373,55 à 59 ans,Retraités,765401004,Ne vivant pas en couple,Femmes
374,25 à 29 ans,Professions intermédiaires,765400204,Vivant en couple,Femmes
375,20 à 24 ans,Ouvriers,765400303,Ne vivant pas en couple,Hommes
376,60 à 64 ans,Retraités,765400901,Vivant en couple,Hommes
377,65 à 69 ans,Retraités,765400902,Ne vivant pas en couple,Hommes
378,80 à 84 ans,Retraités,765400103,Ne vivant pas en couple,Femmes
379,60 à 64 ans,Cadres et professions intellectuelles supérieures,765400601,Vivant en couple,Hommes
380,40 à 44 ans,Professions intermédiaires,765400202,Vivant en couple,Femmes
381,30 à 34 ans,Employés,765400404,Vivant en couple,Femmes
382,25 à 29 ans,Autres personnes sans activité professionnelle,765400106,Vivant en couple,Femmes
383,65 à 69 ans,Retraités,765400202,Ne vivant pas en couple,Hommes
384,55 à 59 ans,Employés,765401005,Vivant en couple,Femmes
385,55 à 59 ans,Retraités,765400106,Vivant en couple,Femmes
386,75 à 79 ans,Retraités,765400601,Vivant en couple,Femmes
387,45 à 49 ans,Employés,765400601,Vivant en couple,Femmes
388,60 à 64 ans,Autres personnes sans activité professionnelle,765400104,Ne vivant pas en couple,Femmes
389,Moins de 5 ans,null,765400304,null,Hommes
